city,job_title,company_name,location,summary,salary
New+York,Staff Data Scientist,Bluecore Inc.,"New York, NY 10002 (Lower East Side area)",First-party data is at the core of everything we build and the Data Science team at Bluecore is at the forefront of exploring innovative and exciting ways to...,Na
New+York,"Data Scientist, Engineering",Google,"New York, NY 10011 (Chelsea area)","(e.g., as a statistician / data scientist / computational biologist / bioinformatician). As a Data Scientist, you will evaluate and improve Google's products....",Na
New+York,Research Scientist I,Health Research Incorporated,"Albany, NY","Duties will also include generating data for reports, manuscripts, and presentations. The Research Scientist I (RSI) will be responsible for performing...",Na
New+York,Data Scientist,NewYork-Presbyterian Hospital,"Manhattan, NY","Proficiency in data analytics and engineering, able to clean, transform, and merge data for ML purposes....",Na
New+York,"Associate Scientist, Phatnani Lab",New York Genome Center,"New York, NY 10013 (Tribeca area)","Performing quality control of the samples and the raw sequencing data; The CGND is looking for a well-organized, methodically working, and highly motivated...",Na
New+York,"AVP - Data Scientist - New York, NY",Citi,New York State,As a data scientist you would have the opportunity to take a significant part in driving data-intelligence projects with high business impact and visibility...,Na
New+York,Data Analyst/Scientist,Blue Mesa Health,"New York, NY",Able to understand various data structures and common methods in data transformation. We are looking for a Data Scientist that will help us discover the...,Na
New+York,Data Scientist,Stella.ai,"New York, NY","Successfully built large-scale data processing and analysis pipelines. Experience with distributed systems, infrastructure, scalability, parallel programming,...",Na
New+York,Data Scientist,Hearts and Science,"New York, NY","Assist in designing tech infrastructure and data pipelines (ETL, data automation, data querying, etc.). The following are the responsibilities and duties of the...",Na
New+York,Customer Data Scientist,Smartly,"New York, NY",As Customer Data Scientist you will. We are looking for a customer-facing data scientist who enjoys analyzing complex systems and can communicate findings to...,Na
New+York,Data Scientist Intern,IBM,"Armonk, NY 10504","You will work alongside consultants, managers, and data scientists to enhance business performance through analytics and data science focused initiatives....",Na
New+York,Data Analyst,7Park Data,"New York, NY","Collaborate with customers, analysts, data scientists and engineers to create new data products. 7Park Data transforms data to revolutionize business decisions....",Na
New+York,Data Scientist,IBM,"New York, NY 10002 (Lower East Side area)",Work arm in arm with data scientists and design researchers to model more detailed insights. Knowledge in SQL and experience working with complex data sets....,Na
New+York,Data Scientist,HotelTonight,"New York, NY","As one of the first Data Scientists on the Data & Strategy team, you will drive business decisions across the company using data and be responsible for...",Na
New+York,Data Scientist,HotelTonight,"New York, NY","As one of the first Data Scientists on the Data & Strategy team, you will drive business decisions across the company using data and be responsible for...",Na
New+York,Data Analyst,7Park Data,"New York, NY","Collaborate with customers, analysts, data scientists and engineers to create new data products. 7Park Data transforms data to revolutionize business decisions....",Na
New+York,"Merchant Services- Data Scientist, VP",JP Morgan Chase,"New York, NY 10004 (Financial District area)","In conjunction with data owners and department managers, contribute to the development of data models for analytics....",Na
New+York,"Associate Research Scientist, CCA",Simons Foundation,"New York, NY 10010 (Gramercy area)",Associate Research Scientists will develop algorithms and codes for computational astrophysics and/or for the analysis of large astronomy data sets....,Na
New+York,Data scientist,VillageCare,"Manhattan, NY",VillageCareMAX is seeking a Data Analyst for a full-time in house position. Participates in the design and development of dashboards that will automate the...,Na
New+York,Data Scientist,Capgemini,"New York, NY","Build and refine machine Learning/deep learning algorithms that can find “useful” patterns in large multi-modal data (particularly, images, text, conversations,...",Na
New+York,Data Scientist - Junior,Atos,"Purchase, NY","We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver...",Na
New+York,Research Data Specialist,Weill Cornell Medicine,"New York, NY",Performs quality assurance of data outputs. Analyzes research data using basic and advanced statistical methodologies;...,Na
New+York,Data Scientist,UL LLC,"Latham, NY","Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as sensors, open...",Na
New+York,Data Scientist,Intercontinental Exchange,"New York, NY 10022 (Midtown area)",Collaborating with a team of skilled quantitative analysts and data scientists supporting our business development efforts with an exciting new set of products...,Na
New+York,"Quantitative Analysis, Full Time Analyst (North America - 2019)",Citi,"New York, NY 10261 (Murray Hill area)","You're the brains behind our work. You’re ready to bring your knowledge from the classroom to the boardroom, and Citi wants to help you get there. Whether it...",Na
New+York,DATA SCIENTIST / ANALYST,Tangent Data Services,"New York, NY",The candidate is expected to take direction from / report to the Chief Data Scientist. Join Tangent’s Big Data team and design highly scalable algorithms and...,Na
New+York,Data Scientist - Investment Bank,UBS,"New York, NY","Experience in the Python data science stack. Is happy to get their hands dirty with the data; Has demonstrated interest in the Data Science, AI and Machine...",Na
New+York,Underwriting Data Scientist,AIG,"New York, NY",JR1813369 Underwriting Data Scientist. Data Scientist should be comfortable making decisions and defending them....,Na
New+York,"Environmental Scientist Biologist/Entry to Mid-Level/Buffalo, NY/RT",Tetra Tech,"Buffalo, NY","Environmental Scientist Biologist/Entry to Mid-Level/Buffalo, NY/RT. Tetra Tech is seeking an Environmental Scientist Biologist....",Na
New+York,Bike Share Data Analyst,New York City DEPARTMENT OF TRANSPORTATION,"Manhattan, NY","Develop analyses of data based on economic studies; Establish and monitor best practices, policies, procedures and documentation around bike share data;...",Na
New+York,Behavioral Scientist,Ipsos North America,"New York, NY","The role of a behavioral scientist at Ipsos is a dynamic one, covering a broad range of activities and projects....",Na
New+York,2019 PhD Data Scientist Internship - UberEverything - New York,Uber,"New York, NY 10018 (Clinton area)","Uber Everything Data Scientists help solve the most challenging problems related to Uber's ambitious and rapidly expanding on-demand delivery businesses, such...",Na
New+York,DATA SCIENCE -INTERN,"Foot Locker, Inc.","New York, NY","Exploratory data discoveries, data science research, data mining, building data products, and communicating findings to key stakeholders....",Na
New+York,Data Scientist,Reorg Research,"New York, NY","1+ years of professional experience as a Data Scientist. Propose, build, and execute various data science models to leverage existing data to improve business...",Na
New+York,Data Scientist,Rockstar New York,"New York, NY",Rockstar Games is seeking an experienced data scientist to join our Analytics practice and help advance our business intelligence capabilities....,Na
New+York,Data Scientist,"Discovery Communications, LLC","New York, NY",Lead and create a small team of data scientists. The individual must be comfortable partnering with core data infrastructure teams such as big data...,Na
New+York,Data Scientist - NYC,Daugherty Business Solutions,"New York, NY","Proven data engineering or data visualization experience with large and/or complex data environments. As a Data Scientist, you will be responsible for the...",Na
New+York,Data Scientist,IEEE GlobalSpec,"Albany, NY","Extensive background in data mining and statistical analysis on larger data sets. 5+ years’ experience with ETL, data processing, database programming (SQL...",Na
New+York,Insights Scientist,Twitter,"New York, NY","The team is made up of designers, creative technologists, data scientists, and producers. Experience translating verbal or written business problems into data...",Na
New+York,Data Clinic Data Scientist,"Two Sigma Investments, LLC.","New York, NY",Act as primary data scientist on 8-10 Data Clinic projects a year. Data Scientists will work alongside Two Sigma’s own scientists and engineers to harness data...,Na
New+York,Research Assistant,Weill Cornell Medicine,"New York, NY",May perform statistical analysis of research data. Manages and enters collected data into study database. Conducts qualitative coding and thematic analysis of...,Na
New+York,Data Scientist (Product),Spotify,"New York, NY 10011 (Chelsea area)","We are looking for a Data Scientist to join the band and help drive a data-first culture across Spotify. As a Data Scientist, our mission is to turn terabytes...",Na
New+York,Junior Scientist,Chembio Diagnostic Systems,"Medford, NY 11763",The Junior Scientist is responsible for performing experiments to develop and refine state-of-the-art assays for the detection of infectious diseases....,Na
New+York,"Associate Scientist, Vaccines (Fixed Term)",Pfizer Inc.,"Pearl River, NY 10965","Provide critical data review of clinical and non-clinical data. This includes data organization/review, and qualification documents when relevant....",Na
New+York,Data Scientist,Smith Hanley Associates,"New York, NY",Data Scientist THE IDEAL CANDIDATE. Data Scientist Knowledge Skills and Abilities:. Data Scientist Core duties include the following:....,Na
New+York,Data Analyst,New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","To support our initiatives, PCIP is seeking a Data Analyst with a strong data analytics background who will facilitate the generation of reports and dashboards...",Na
New+York,Associate Scientist,PPD,"New York, NY",Associate Scientist - 151159. Enters data into databases and reports. Proven ability to interpret data by performing trend analysis....,Na
New+York,Principal Data Scientist,Aetna,"New York, NY 10016 (Gramercy area)",Aetna takes our candidates's data privacy seriously. Demonstrated experience leading and setting the direction focusing on statistical/multivariate data...,Na
New+York,Data Scientist,Neuberger Berman,"New York, NY","Apply statistical analysis and machine learning methods to large data sets for data mining, feature engineering, bias correction and prediction....",Na
New+York,Data Scientist,Underwriters Laboratories,"Latham, NY 12110","Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as sensors, open...",Na
New+York,Data Scientist,Sartorius Corporation,"New York, NY",Solve business related problems using advanced data analysis and data driven technologies. The Senior Data Scientist will work closely with key accounts to...,Na
New+York,Data Scientist,Delaware North,"Buffalo, NY","The position includes all phases of the analytics pipeline, including data extraction/acquisition, exploratory data analysis, data cleansing, transformations,...",Na
New+York,"Senior Analyst, Data Scientist",Estee Lauder,"New York, NY",3 years experience as a data scientist or data analyst in which you have extracted meaning from big data sets with little engineering support....,Na
New+York,Data Scientist,Liberty Lending,"New York, NY","Data scientist to work as a statistician, data miner, and business analyst for the Risk Department. Conduct data mining from internal and external data sources....",Na
New+York,"Data Scientist, Consumer Revenue",New York Media LLC,"New York, NY 10013 (Tribeca area)",The data scientist will support our growing Direct Consumer Revenue team. This role will work collaboratively across multiple functions to develop tools and...,Na
New+York,"Data Analyst, Center for Developing Brain",Child Mind Institute,"New York, NY","The Data Analyst will gain familiarity in running data-intensive methods for neuroimaging data, including multi-site harmonization, quality control, and...",Na
New+York,Data Center Administrator,Hudson River Trading,"Westchester, NY",5+ years of data center experience. Support data center aspects of team projects. Participate in everyday data center maintenance and operations....,Na
New+York,Data Scientist,LOCKHEED MARTIN CORPORATION,"Rochester, NY 14623","The applicant is expected to collaborate with other data scientists, engineers, software teams, management, and other stakeholders to conduct data wrangling /...",Na
New+York,FIELD AUTOMATION SCIENTIST,Unchained Labs,"Northeast, NY","For workflow control and data manipulation. Help us identify trends and solve tough recurring problems, applying data driven solutions to solve. The Top Line....",Na
New+York,ASSOCIATE SCIENTIST - Microbiology 1st Shift,Fresenius Kabi,"Grand Island, NY",Assists in compiling data for Annual Reports. Reviews data generated by QC technicians and Approves testing paperwork....,Na
New+York,"Senior Data Scientist, User Fraud",Spotify,"New York, NY 10011 (Chelsea area)","We are looking for a Senior Data Scientist to join the band and help drive a data-first culture, focused on user fraud prevention, detection and research....",Na
New+York,Data Scientist,Integral Ad Science,"New York, NY 10003 (Greenwich Village area)",We are seeking a Data Scientist to join our team in NYC! Drive the collection of new data and the refinement of existing data sources....,Na
New+York,Data Scientist,Citi,"New York, NY 10261 (Murray Hill area)",Ensuring the completeness and comprehensiveness of data structure by integrating the sources for newly identified data points....,Na
New+York,Researcher,New York City DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY","City Research Scientist Level:. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....",Na
New+York,Associate Scientist,New York Genome Center,"New York, NY 10013 (Tribeca area)","Perform quality control of the samples and raw sequencing data; We are looking for a highly motivated, independent but team-oriented Associate Scientist with...",Na
New+York,Data Scientist,05 Ascensia Diabetes Care US Inc.,"Valhalla, NY","Experience in and understanding of data and information management, especially in Big Data trends. Responsibilities include analyses of various data streams,...",Na
New+York,Quantum Scientist,Booz Allen Hamilton,"Rome, NY 13441","Experience with data science, including analysis, data visualization, and machine learning. Conduct research in quantum computing, quantum information...",Na
New+York,"Data Scientist, Analytics",Facebook,"New York, NY",The Data Scientist Analytics role has work across the following four areas:. Experience manipulating data sets through statistical software (ex....,Na
New+York,Data Scientist- AI/ML,Etsy,"New York, NY",Etsy is looking for a Data Scientist to join our Data Science team and to have the opportunity to make core algorithmic advances and apply their ideas in the...,Na
New+York,Jr. Quality Control Scientist,"Ascent Pharmaceuticals, Inc.","Islip, NY","Quality Control Scientist in Central Islip, NY to conduct pharmaceutical laboratory quality control/development activities;...",Na
New+York,Data Science Quant Developer | 2019 Grad,Liquidnet,"New York, NY","Partner globally with other data scientists, quants, developers, product designers, clients and industry leaders to deliver creative solutions to the important...",Na
New+York,Glass Surface Scientist,Corning,"Painted Post, NY 14870","Experimental design set-up, execution and data analysis. Corning is one of the world’s leading innovators in materials science....",Na
New+York,Equipment Production Resident,BuzzFeed,"New York, NY","We have offices in 19 cities around the world and more than 1500 employees including reporters, video producers, data scientists, engineers, brand strategists,...",Na
New+York,Developer/Data Scientist - AVP,Citi,New York State,"This team will design and conduct Proofs-of-Concept projects within the data and cognitive sciences domain include Knowledge Graph tools and technologies,...",Na
New+York,"Toxicology, Principal Scientist",Estee Lauder,"Melville, NY","Data review, report writing, opinion support and discussion will be frequent. Strong technical background in scientific and toxicological data evaluation and...",Na
New+York,Data Scientist,Phreesia,"New York, NY",Phreesia is looking for an experienced and hands-on Data Scientist to join our growing Data Science Team; Ability to collaborate with Data Scientists and Data...,Na
New+York,Data Analyst,Cota,"New York, NY 10004 (Financial District area)","Cota is seeking an early-career data scientist who is naturally curious, has familiarity with various analytic tools, and enjoys solving new problems....",Na
New+York,ASSOCIATE VALIDATION SCIENTIST,Fresenius Kabi,"Grand Island, NY",Executes equipment validation studies to include protocol execution and data analysis. Accurately record data and a basic understanding of statistical analysis...,Na
New+York,C++ Software Engineer – Quantitative Data Analysis (GL),Siemens,"Melville, NY 11747",Knowledge of statistical data analysis. Product Lifecycle Management-PLM....,Na
New+York,Data Scientist,Ipsos North America,"New York, NY","As a Data Scientist, you will:. Experience in analytics, extracting and surfacing value from quantitative data....",Na
